G1,G2,G3,studytime,absences,failures,health,activities,internet
13,11,11,2,7,2,1,yes,yes
6,6,8,4,5,2,4,no,no
12,14,10,1,4,2,5,yes,yes
14,13,9,4,16,0,3,yes,no
7,5,5,4,5,0,4,yes,no
13,15,17,4,26,0,5,no,no
8,7,9,4,2,0,3,no,yes
15,12,14,1,16,2,5,yes,yes
11,8,10,4,1,3,1,no,yes
10,8,9,3,29,0,3,yes,no
7,8,6,2,24,0,4,yes,no
12,11,12,4,4,1,4,no,yes
13,14,14,4,14,3,2,yes,yes
12,12,9,3,11,0,5,yes,yes
15,12,8,3,16,1,4,no,no
8,8,6,2,1,2,3,yes,yes
15,16,19,4,21,0,1,no,no
8,7,7,1,3,0,4,no,yes
15,14,17,4,22,1,4,no,yes
6,7,8,3,2,2,3,yes,no
7,9,10,2,20,3,2,no,no
8,10,11,3,14,3,2,no,no
11,10,13,1,1,0,3,no,yes
9,11,9,3,7,1,3,yes,yes
6,6,5,1,11,3,5,yes,no
13,12,14,3,1,3,3,no,yes
15,16,19,1,6,0,2,yes,yes
9,6,5,3,13,0,2,yes,yes
11,13,12,1,0,3,4,no,no
9,8,7,3,6,0,4,no,yes
14,12,9,1,23,3,4,no,yes
9,9,12,4,8,2,4,yes,yes
7,4,3,3,9,0,5,yes,yes
7,5,3,4,9,0,3,no,yes
11,8,11,1,16,2,3,yes,yes
15,17,14,2,16,2,2,yes,yes
6,6,9,3,7,3,4,no,yes
13,12,12,1,28,1,3,yes,no
15,15,16,4,29,2,1,yes,no
14,15,18,1,16,1,5,yes,no
7,8,11,2,2,0,5,no,yes
15,12,12,3,28,1,1,no,yes
6,5,6,1,21,3,4,yes,no
9,11,10,1,0,1,2,no,yes
8,8,7,4,13,3,1,yes,yes
13,10,8,3,11,1,4,no,yes
8,8,4,3,3,0,3,no,yes
14,16,16,2,13,0,2,yes,yes
11,11,7,4,23,3,5,no,yes
10,12,11,1,12,3,1,no,yes
11,12,9,4,9,3,1,no,no
15,12,11,3,23,0,2,yes,no
11,11,13,1,17,0,5,yes,no
15,17,20,4,24,3,5,yes,no
8,6,6,1,13,1,4,no,yes
9,7,4,2,10,3,2,no,yes
13,14,15,3,27,2,5,yes,no
11,12,8,2,21,2,4,no,yes
15,14,10,1,21,3,3,no,no
6,7,8,2,13,3,2,yes,no
11,8,11,3,5,2,1,no,no
9,9,11,1,9,2,4,no,no
8,10,8,1,11,2,2,yes,no
9,8,4,2,25,3,2,no,no
15,15,12,1,11,0,1,no,yes
12,14,12,1,13,0,2,yes,yes
15,16,17,4,21,0,1,no,yes
14,12,9,3,11,0,4,no,no
12,14,13,2,1,3,1,yes,no
8,9,6,1,27,3,3,no,yes
9,6,3,4,2,3,3,yes,yes
9,7,5,1,27,1,1,no,no
7,9,9,2,6,3,5,yes,no
11,11,7,1,24,0,5,yes,yes
8,8,4,2,9,3,3,yes,yes
9,7,8,4,20,0,1,no,no
12,9,11,4,2,2,3,no,no
11,12,12,1,11,3,3,no,yes
14,12,13,2,22,3,1,no,no
10,7,7,2,1,1,5,yes,yes
15,15,16,2,16,2,4,yes,no
7,5,8,1,13,1,5,no,yes
15,16,19,1,7,2,4,yes,yes
8,6,8,3,2,1,1,yes,yes
6,5,2,3,7,0,1,yes,no
6,6,5,4,23,2,5,no,no
12,14,10,2,11,2,3,no,no
10,12,10,3,25,1,4,yes,yes
13,11,10,3,10,3,1,no,no
7,6,3,2,3,2,5,no,no
11,10,13,1,26,1,2,yes,no
8,5,7,3,14,0,2,yes,yes
14,13,11,2,22,0,2,no,yes
10,9,8,3,6,2,4,no,yes
9,7,8,2,6,0,5,no,no
7,9,6,1,18,2,2,yes,yes
10,8,6,4,25,1,3,no,yes
7,5,6,4,26,3,1,no,no
11,9,7,1,22,3,1,no,no
8,8,10,2,4,0,1,yes,yes
6,6,8,2,4,3,3,yes,no
7,6,5,2,9,0,2,no,yes
8,9,12,2,26,3,4,no,no
7,6,9,2,18,3,5,no,no
7,7,4,3,28,0,5,yes,yes
8,10,6,1,23,1,1,yes,yes
15,16,13,3,19,3,2,no,no
9,9,9,3,13,0,4,no,yes
8,8,11,1,21,3,2,no,yes
14,16,18,1,4,3,3,no,no
7,5,3,2,23,0,1,no,no
8,9,5,4,23,1,4,yes,no
7,4,7,1,24,0,1,no,yes
8,6,4,3,6,2,2,yes,no
11,10,11,3,22,1,5,no,no
12,12,8,3,26,0,1,no,no
8,8,10,1,2,1,1,yes,no
